0,Unnamed: 0,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,year1,year2
321,321,322,60,1,99,12099,1,0,0.75,1,1,1,1,7.39E-05,0,0,0.25,0.5,8,5,2004,2004,1,1,1,1,-2.22E-15,388,0.75,0.5,1,1,0.6,0.75,970,970,0.1,0,166,1136,1,1,1,1,1136,1332,0,2468,1,0,2,1,4,1,0.8,10,1,1,0.8,0.6,15,1,3,872,0.6,0.6,1,184,154,0,0,0,0,0,0,1,0,6,2007,1,1,354000,3,3
322,322,323,60,1,86,10380,1,0,0.75,1,1,1,1,0.00013699,0,0,0.25,0.5,7,5,1986,1987,1,1,-8.17E-18,1.95E-18,-2.22E-15,172,0.75,0.5,6.84E-13,0.6,0.6,1,1111.1,28,0.75,1474,0,1502,1,1,1,1,1553,1177,0,2730,1,0,2,1,4,1,0.8,8,1,1,0.6,0.8,32,1,2,576,0.6,0.6,1,201,96,0,0,0,0,0,0.75,1,0,8,2007,1,1,301000,21,20
323,323,324,20,-3.33E-16,49,5820,1,0,1,1,1,1,1,1.60E-05,0,0,0.25,0.125,3,8,1955,2005,1,1,1,1,1,0,0.5,0.75,6.84E-13,0.6,0.6,0.25,192,256,0.1,0,906,1162,1,1,1,1,1163,0,0,1163,1,0,1,0,3,1,0.6,6,1,0,0,0.8,64,0.3,1,220,0.4,0.6,1,142,98,0,0,0,0,0,0,1,0,7,2006,1,1,126175,51,1
324,324,325,80,1,96,11275,1,0,1,1,1,0,1,0.999999979,0.5,0,0.25,1,7,7,1967,2007,4.34E-19,-1.16E-16,3.47E-17,5.94E-17,-2.22E-15,300,0.75,0.75,6.84E-13,0.8,0.6,0.25,0,0,0.1,0,710,710,1,1,1,1,1898,1080,0,2978,0,0,2,1,5,1,0.8,11,1,1,0.8,0.6,58,1,2,564,0.6,0.6,1,240,0,0,0,0,0,0,0,1,0,6,2010,1,1,242000,43,3
325,325,326,45,-3.33E-16,50,5000,1,0,1,1,1,1,1,1.17E-05,1,0,0.25,0.25,5,6,1941,1950,1,1,2.57E-16,-6.51E-19,1,0,0.5,0.5,6.84E-13,0.6,0.6,0.75,58,116,0.1,0,604,720,1,0.2,0,0.5,803,0,0,803,0,0,1,0,2,1,0.6,5,1,0,0,0.2,78,0.3,2,360,0.6,0.6,1,0,0,244,0,0,0,0,0,1,0,12,2007,1,1,87000,66,57
326,326,327,120,1,32,10846,1,0,0.75,1,1,1.89E-18,1,2.02E-09,0,0,1,0.125,8,5,1993,1993,1,1,-9.91E-20,7.61E-15,1,0,0.75,0.5,1,0.8,0.6,1,1619,1619,0.1,0,100,1719,1,1,1,1,1719,0,0,1719,2,0,1,1,1,1,0.8,6,1,2,0.8,0.8,26,1,2,473,0.6,0.6,1,122,30,0,0,0,0,0,0,1,0,5,2008,-1.40E-17,1,324000,15,15
327,327,328,20,1,80,11600,1,0,1,1,1,1,1,0.999999979,0,0,0.25,0.125,6,5,1960,1960,1.39E-16,1,3.47E-17,5.94E-17,-2.22E-15,175,0.5,0.5,6.84E-13,0.6,0.6,0.25,169.5,565,0.1,0,818,1383,1,0.6,1,1,1383,0,0,1383,0,0,1,1,3,1,0.6,7,1,0,0,0.8,59,0.6,1,292,0.6,0.6,1,0,45,0,0,0,0,0,0,1,0,4,2006,1,1,145250,46,46
328,328,329,75,1,70,11888,1,1,0.75,0.75,1,1,1,-0.000112956,0.5,0,0.25,0.625,6,6,1916,1994,1,1,3.47E-17,7.12E-16,1,0,0.5,0.5,0,0.6,0.6,0.25,0,0,0.1,0,844,844,1,0.8,0,0.75,1445,689,0,2134,0,0,2,0,5,1,0.8,10,1,0,0,0.2,89,0.3,2,441,0.6,0.6,1,0,60,268,0,0,0,0,0,1,0,7,2009,1,1,214500,93,15
329,329,330,70,-3.33E-16,60,6402,1,0,1,1,1,0,1,1.17E-05,0,0,0.25,0.5,5,5,1920,1950,1,1,3.47E-17,7.12E-16,1,0,0.5,0.5,1,0.6,0.6,0.5,0,0,0.1,0,596,596,1,0.6,0,1,596,596,0,1192,0,0,1,0,3,1,0.6,6,1,0,0,0.2,99,0.3,1,189,0.4,0.4,0,0,0,137,0,0,0,0,0.5,1,0,7,2009,1,1,78000,89,59
330,330,331,90,1,70,10624,1,0,0.75,1,1,1,1,0.999999979,0,0,0,0.125,5,4,1964,1964,1,1,-4.08E-17,9.41E-17,-2.22E-15,84,0.5,0.5,6.84E-13,0.6,0.6,0.25,119.2,40,0.3,264,1424,1728,1,0.6,1,1,1728,0,0,1728,0,1,2,0,6,2,0.6,10,1,0,0,0.2,17,0.3,1,352,0.6,0.6,1,155,0,0,0,0,0,0,0,1,0,11,2007,1,1,119000,43,43
331,331,332,20,1,70,8176,1,0,1,1,1,1,1,0.999999979,0,0,0.25,0.125,5,6,1958,1992,1,1,3.47E-17,5.94E-17,1,0,0.5,0.5,6.84E-13,0.6,0.6,0.25,253.8,846,0.1,0,210,1056,1,0.4,1,1,1056,0,0,1056,1,0,1,0,3,1,0.6,6,1,0,0,0.8,61,0.6,1,308,0.6,0.6,1,0,0,0,0,0,0,0,0,1,0,8,2007,1,1,139000,49,15
332,332,333,20,1,85,10655,1,0,0.75,1,1,1,1,7.39E-05,0,0,0.25,0.125,8,5,2003,2004,1,1,1,1,-2.22E-15,296,0.75,0.5,1,0.8,0.6,0.25,0,1124,0,479,1603,3206,1,1,1,1,1629,0,0,1629,1,0,2,0,3,1,0.8,7,1,1,0.8,0.8,16,0.6,3,880,0.6,0.6,1,0,0,0,0,0,0,0,0,1,0,10,2009,1,1,284000,6,5
333,333,334,120,-3.33E-16,59,8198,1,0,1,1,1,-6.75E-18,1,7.39E-05,0,0,1,0.125,7,5,2004,2004,1,1,1,1,7.44E-19,146,0.75,0.5,1,0.8,0.6,0.75,720,720,0.1,0,638,1358,1,1,1,1,1358,0,0,1358,1,0,2,0,2,1,0.8,6,1,1,0.8,0.8,15,0.6,2,484,0.6,0.6,1,192,30,0,0,0,0,0,0,1,0,7,2008,1,1,207000,4,4
334,334,335,60,1,59,9042,1,0,0.75,1,1,1,1,3.00E-05,0,0,0.25,0.5,6,5,1998,1998,1,1,1,1,1,0,0.5,0.5,1,0.8,0.6,1,828,828,0.1,0,115,943,1,0.8,1,1,943,695,0,1638,1,0,2,1,3,1,0.6,7,1,2,0.6,0.8,21,1,2,472,0.6,0.6,1,100,38,0,0,0,0,0,0,1,0,7,2008,1,1,192000,10,10
335,335,336,190,1,70,164660,0.5,0,0.75,0.5,1,0,0,-5.39E-06,0,0,0,0.375,5,6,1965,1965,1,1,-8.17E-18,1.95E-18,1,0,0.5,0.5,6.84E-13,0.6,0.6,1,1010.25,1249,0.5,147,103,1499,1,1,1,1,1619,167,0,1786,2,0,2,0,3,1,0.6,7,1,2,0.8,0.8,54,1,2,529,0.6,0.6,1,670,0,0,0,0,0,0,0,9.15E-17,700,8,2008,1,1,228950,43,43
336,336,337,20,1,86,14157,1,0,0.75,0.5,1,0,1,-4.49E-07,0,0,0.25,0.125,9,5,2005,2006,1.39E-16,1,1,1,7.44E-19,200,0.75,0.5,1,1,0.6,1,1249,1249,0.1,0,673,1922,1,1,1,1,1922,0,0,1922,1,0,2,0,3,1,0.8,8,1,1,0.8,0.8,14,1,3,676,0.6,0.6,1,178,51,0,0,0,0,0,0,1,0,7,2007,1,1,377426,2,1
337,337,338,20,1,70,9135,1,0,1,1,1,1,1,-5.37E-07,0,0,0.25,0.125,7,5,2002,2003,1,1,1,1,-2.22E-15,113,0.75,0.5,1,0.8,0.6,0.75,810,810,0.1,0,726,1536,1,1,1,1,1536,0,0,1536,1,0,2,0,3,1,0.8,7,1,0,0,0.8,17,0.6,2,532,0.6,0.6,1,192,74,0,0,0,0,0,0,1,0,12,2008,1,1,214000,6,5
338,338,339,20,1,91,14145,1,0,1,1,1,0,1,-3.80E-05,0,0,0.25,0.125,7,7,1984,1998,1,1,3.47E-17,5.94E-17,1,0,0.75,0.5,6.84E-13,0.8,0.6,0.5,159.75,213,0.1,0,995,1208,1,1,1,1,1621,0,0,1621,1,0,2,0,3,1,0.8,8,1,0,0,0.8,35,0.6,2,440,0.6,0.6,1,108,45,0,0,0,0,0,0,9.15E-17,400,5,2006,1,1,202500,22,8
339,339,340,20,1,66,12400,1,0,0.75,1,1,1,1,0.999999979,1,0,0.25,0.125,6,7,1958,1998,1.39E-16,1,3.47E-17,5.94E-17,-2.22E-15,176,0.5,0.5,6.84E-13,0.6,0.4,0.25,175.5,585,0.1,0,630,1215,1,0.6,1,0.75,1215,0,0,1215,0,0,1,0,3,1,0.6,6,1,0,0,0.8,61,0.3,1,297,0.6,0.6,1,0,0,0,0,234,0,0,0,1,0,6,2009,1,1,155000,51,11
340,340,341,60,1,85,14191,1,0,1,1,1,1,1,-5.39E-06,0,0,0.25,0.5,8,5,2002,2002,1,1,1,1,1,0,0.75,0.5,1,0.8,0.6,0.25,0,0,0.1,0,967,967,1,1,1,1,993,915,0,1908,0,0,2,1,4,1,0.8,9,1,0,0,0.8,17,1,2,431,0.6,0.6,1,135,0,0,0,0,0,0,0,1,0,4,2010,1,1,202900,8,8
341,341,342,20,9.11E-19,60,8400,1,0,1,1,1,1,1,0.00013699,1,0,0.25,0.125,4,4,1950,1950,1,1,3.47E-17,1.61E-14,1,0,0.25,0.25,6.84E-13,0.6,0.4,0.25,0,0,0.1,0,721,721,1,0.8,1,1,841,0,0,841,0,0,1,0,2,1,0.6,4,1,0,0,0.5,69,0.3,1,294,0.6,0.6,0,250,0,24,0,0,0,0,0,1,0,9,2009,1,1,82000,59,59
342,342,343,90,1,70,8544,1,0,1,1,1,1,1,0.999999979,0,0,0,0.125,3,4,1949,1950,1,1,-5.66E-18,-3.49E-15,-2.22E-15,340,0.5,0.5,2.79E-17,0,0,0,0,0,0,0,0,0,2.08E-17,0.4,0,0.75,1040,0,0,1040,0,0,2,0,2,2,0.6,6,1,0,0,0.2,70,0.3,2,400,0.6,0.6,1,0,0,0,0,0,0,0,0,1,0,5,2006,1,1,87500,57,56
343,343,344,120,1,63,8849,1,0,0.75,1,1,1,1,7.39E-05,0,0,1,0.125,9,5,2005,2005,1.39E-16,1,2.57E-16,-6.51E-19,-2.22E-15,616,1,0.5,1,1,0.6,0.25,28,28,0.1,0,1656,1684,1,1,1,1,1684,0,0,1684,0,0,2,0,2,1,1,6,1,1,1,0.8,14,0.6,2,564,0.6,0.6,1,495,72,0,0,0,0,0,0,1,0,7,2008,1,1,266000,3,3
344,344,345,160,-3.33E-16,36,2592,1,0,1,1,1,1,1,-7.24E-09,0,0,1,0.5,5,3,1976,1976,1,1,-1.65E-19,-8.62E-18,1,0,0.5,0.5,6.84E-13,0.8,0.6,0.25,154.7,129,0.5,232,175,536,1,0.6,1,1,536,576,0,1112,0,0,1,1,3,1,0.6,4,1,0,0,0.8,43,0.3,1,336,0.6,0.6,1,182,0,0,0,0,0,0,0,1,0,4,2010,1,1,85000,34,34
345,345,346,50,1,65,6435,1,0,1,1,1,1,1,-0.000112956,1,0,0.25,0.375,6,5,1939,1950,1,1,2.57E-16,-6.51E-19,1,0,0.5,0.5,0,0.6,0.6,0.25,0,0,0.1,0,972,972,1,0.8,1,1,972,605,0,1577,0,0,1,0,3,1,0.4,6,1,1,0.8,0.2,80,0.3,1,312,0.6,0.6,1,0,0,0,0,0,0,0,0,1,0,10,2006,1,1,140200,67,56
346,346,347,20,1,70,12772,1,0,0.75,1,1,1.89E-18,1,0.999999979,0,0,0.25,0.125,6,8,1960,1998,1.39E-16,1,2.57E-16,-6.51E-19,1,0,0.5,0.75,6.84E-13,0.6,0.6,0.5,249,498,0.1,0,460,958,1,0.6,1,1,958,0,0,958,0,0,1,0,2,1,0.6,5,1,0,0,0.8,59,0.6,1,301,0.6,0.6,1,0,0,0,0,0,0,0,0,0,15500,4,2007,1,1,151500,47,9
347,347,348,20,1,70,17600,1,0,0.75,1,1,1,1,0.999999979,0,0,0.25,0.125,6,5,1960,1960,1,1,3.47E-17,5.94E-17,-2.22E-15,30,0.5,0.5,6.84E-13,0.6,0.6,0.25,635,1270,0.1,0,208,1478,1,1,1,0.75,1478,0,0,1478,1,0,2,0,3,1,0.6,6,1,2,0.8,0.8,59,0.3,2,498,0.6,0.6,1,0,40,0,0,0,0,0,0,1,0,12,2009,1,1,157500,49,49
348,348,349,160,1,36,2448,1,0,1,1,1,1,1,7.39E-05,0,0,0,0.5,7,5,2003,2004,1,1,1,7.12E-16,7.44E-19,106,0.75,0.5,1,0.8,0.6,0.25,573,573,0.1,0,191,764,1,1,1,1,764,862,0,1626,1,0,2,1,2,1,0.8,6,1,0,0,0.6,16,0.6,2,474,0.6,0.6,1,0,27,0,0,0,0,0,0,1,0,10,2008,1,1,154000,5,4
349,349,350,60,1,56,20431,1,0,0.5,1,1,1,1,7.39E-05,0,0,0.25,0.5,9,5,2005,2006,1.39E-16,1,-1.65E-19,-8.62E-18,-2.22E-15,870,1,0.5,1,1,0.6,0.25,1410,1410,0.1,0,438,1848,1,1,1,1,1848,880,0,2728,1,0,2,1,4,1,1,10,1,2,1,0.8,13,1,3,706,0.6,0.6,1,0,0,0,0,0,0,0,0,1,0,4,2006,-4.67E-20,0.8,437154,1,0
350,350,351,120,1,68,7820,1,0,0.75,1,1,1,1,7.39E-05,0,0,1,0.125,9,5,2007,2007,1.39E-16,1,2.57E-16,-6.51E-19,-2.22E-15,362,1,0.5,1,1,0.6,0.25,0,0,0.1,0,1869,1869,1,1,1,1,1869,0,0,1869,0,0,2,0,2,1,1,6,1,1,0.8,0.8,12,0.6,2,617,0.6,0.6,1,210,54,0,0,0,0,0,0,1,0,12,2007,-4.67E-20,0.8,318061,0,0
351,351,352,120,1,70,5271,1,0,0.75,0.25,1,1,0.5,1.03E-06,0,0,0.25,0.125,7,5,1986,1986,1,1,3.47E-17,5.94E-17,1,0,0.5,0.5,1,0.8,0.6,1,1082,1082,0.1,0,371,1453,1,0.8,1,1,1453,0,0,1453,1,0,1,1,2,1,0.8,6,1,1,0.6,0.8,33,0.6,2,445,0.6,0.6,1,0,80,0,0,184,0,0,0,1,0,12,2006,1,0.5,190000,20,20
352,352,353,50,1,60,9084,1,0,1,1,1,1,1,-1.18E-05,1,0,0.25,0.375,5,6,1941,1950,1,1,1,1,1,0,0.5,0.5,6.84E-13,0.6,0.4,0.5,161.2,236,0.3,380,0,616,1,0.6,0,1,616,495,0,1111,0,1,1,0,3,1,0.6,5,1,0,0,0.2,78,0.3,1,200,0.6,0.4,1,48,0,0,0,0,0,0,0,1,0,3,2008,-1.17E-17,1,95000,67,58
353,353,354,30,-3.33E-16,60,8520,1,0,1,1,1,1,1,1.60E-05,0,0,0.25,0.125,6,8,1928,2003,1,1,1,1,1,0,0.5,0.75,0,0.6,0.6,0.25,0,0,0.1,0,624,624,1,0.8,1,1,720,0,0,720,0,0,1,0,2,1,0.6,5,1,0,0,0.2,14,0.3,2,484,0.6,0.6,1,106,0,0,0,0,0,0,0,1,0,5,2010,1,1,105900,82,7
354,354,355,50,1,60,8400,1,0,1,0.75,1,1,1,-5.82E-07,0,0,0.25,0.375,6,5,1940,2000,1,1,3.47E-17,-6.51E-19,1,0,0.5,0.5,6.84E-13,0.6,0.6,0.25,77.6,388,0.1,0,552,940,1,1,1,1,1192,403,0,1595,0,0,1,0,2,1,0.6,6,1,2,0.8,0.8,79,0.3,1,240,0.6,0.6,1,0,0,108,0,0,0,0,0,1,0,6,2006,1,1,140000,66,6
355,355,356,20,1,105,11249,1,0,0.5,1,1,1,1,-5.37E-07,0,0,0.25,0.125,6,5,1995,1995,1,1,1,1,1,0,0.75,0.75,1,0.8,0.8,0.25,522.5,334,0.5,544,322,1200,1,1,1,1,1200,0,0,1200,1,0,2,0,3,1,0.8,6,1,0,0,0.8,24,0.6,2,521,0.6,0.6,1,0,26,0,0,0,0,0,0,1,0,8,2007,1,1,177500,12,12
356,356,357,20,1,70,9248,1,0,0.75,1,1,1,1,3.00E-05,0,0,0.25,0.125,6,6,1992,1992,1,1,-4.08E-17,9.41E-17,-2.22E-15,106,0.5,0.5,1,0.8,0.6,0.25,560,560,0.1,0,598,1158,1,0.8,1,1,1167,0,0,1167,1,0,2,0,3,1,0.8,6,1,0,0,0.8,27,0.6,2,400,0.6,0.6,1,120,26,0,0,0,0,0,0,1,0,7,2009,1,1,173000,17,17
357,357,358,120,-3.33E-16,44,4224,1,0,1,1,1,1,1,-7.24E-09,0,0,1,0.125,5,5,1976,1976,1,1,-1.65E-19,-8.62E-18,1,0,0.5,0.5,1,0.8,0.6,0.25,655.5,874,0.1,0,268,1142,1,0.6,1,1,1142,0,0,1142,1,0,1,1,3,1,0.6,6,1,1,0.2,0.8,43,1,2,528,0.6,0.6,1,536,90,0,0,0,0,0,0.75,1,0,8,2007,1,1,134000,31,31
358,358,359,80,1,92,6930,1,0,0.75,1,1,1,1,1.03E-06,0,0,0.25,1,5,4,1958,1958,1.39E-16,1,3.47E-17,2.33E-12,-2.22E-15,120,0.5,0.5,6.84E-13,0.6,0.6,0.75,238.2,300,0.3,294,468,1062,1,1,1,0.5,1352,0,0,1352,0,1,1,0,3,1,0.8,6,0.75,0,0,0.6,61,0.3,1,288,0.6,0.6,1,168,0,294,0,0,0,0,0,1,0,7,2006,1,0.5,130000,48,48
359,359,360,60,1,78,12011,1,0,0.75,1,1,1.89E-18,1,8.87E-06,0,0,0.25,0.5,8,5,1998,1998,1,1,1,1,-2.22E-15,530,0.75,0.5,1,0.8,0.6,0.75,956,956,0.1,0,130,1086,1,1,1,1,1086,838,0,1924,1,0,2,1,3,1,0.8,7,1,1,0.6,0.8,21,0.6,2,592,0.6,0.6,1,208,75,0,0,374,0,0,0,1,0,6,2006,1,1,280000,8,8
360,360,361,85,1,70,7540,1,0,0.75,1,1,1.89E-18,1,4.57E-05,0,0,0.25,0.875,6,6,1978,1978,1,1,1,1,1,0,0.5,0.5,6.84E-13,0.8,0.6,0.75,773,773,0.1,0,115,888,1,1,1,1,912,0,0,912,1,0,1,0,2,1,0.6,5,1,1,0.6,0.8,41,0.6,2,470,0.6,0.6,1,0,0,0,0,192,0,0,0.75,1,0,6,2007,1,1,156000,29,29
361,361,362,50,1,70,9144,1,1,1,1,1,1,1,-0.000112956,0,0,0.25,0.375,5,5,1940,1982,1,1,2.57E-16,-6.51E-19,1,0,0.5,0.5,6.84E-13,0.6,0.6,0.25,119.7,399,0.1,0,484,883,1,0.8,1,1,988,517,0,1505,1,0,1,0,3,1,0.6,8,1,0,0,0.2,79,0.3,1,240,0.6,0.6,0,0,0,0,0,0,0,0,0,1,0,7,2008,1,1,145000,68,26
362,362,363,85,1,64,7301,1,0,1,1,1,0,1,-1.18E-05,0,0,0.25,0.875,7,5,2003,2003,1,1,-4.08E-17,9.41E-17,-2.22E-15,500,0.75,0.5,2.79E-17,0,0,0,0,0,0,0,0,0,1,1,1,1,495,1427,0,1922,0,0,3,0,4,1,0.8,7,1,1,1,0.6,16,0.6,2,672,0.6,0.6,1,0,0,177,0,0,0,0,0,1,0,7,2009,-6.60E-17,1,198500,6,6
363,363,364,160,-3.33E-16,21,1680,1,0,1,1,1,1,1,-3.09E-09,0,0,0,0.5,6,8,1972,2007,1,1,-4.08E-17,9.41E-17,-2.22E-15,510,0.5,0.5,6.84E-13,0.6,0.6,0.25,121.5,162,0.1,0,321,483,1,0.8,1,1,483,504,0,987,0,0,1,1,2,1,0.8,5,1,0,0,0.2,47,0.3,1,264,0.6,0.6,1,250,0,0,0,0,0,0,0,1,0,5,2009,1,1,118000,37,2
364,364,365,60,1,70,18800,1,0,0.75,1,1,4.85E-17,1,-3.80E-05,0,0,0.25,0.5,6,5,1976,1976,1,1,-4.08E-17,9.41E-17,-2.22E-15,120,0.5,0.5,1,0.8,0.6,0.5,712,712,0.1,0,84,796,1,0.6,1,1,790,784,0,1574,1,0,2,1,3,1,0.6,6,1,1,0.6,0.8,43,1,2,566,0.6,0.6,1,306,111,0,0,0,0,0,0,1,0,7,2006,1,1,190000,30,30
365,365,366,70,-3.33E-16,59,10690,1,0,1,1,1,1,1,1.17E-05,0,0,0.25,0.5,5,7,1920,1997,1.39E-16,1,1,1,1,0,0.5,0.75,6.84E-13,0.6,0.4,0.25,136.8,456,0.1,0,216,672,1,0.8,1,0.75,672,672,0,1344,0,0,1,0,3,1,0.6,6,1,0,0,0.2,55,0.3,1,468,0.6,0.4,1,0,128,218,0,0,0,0,0,1,0,7,2009,1,1,147000,89,12
366,366,367,20,1,70,9500,1,0,0.75,1,1,1,1,0.999999979,0,0,0.25,0.125,6,5,1963,1963,1,1,-8.17E-18,1.95E-18,-2.22E-15,247,0.5,0.5,6.84E-13,0.8,0.6,0.25,304.5,609,0.1,0,785,1394,1,0.8,1,1,1394,0,0,1394,1,0,1,1,3,1,0.6,6,1,2,0.8,0.8,56,0.6,2,514,0.6,0.6,1,0,76,0,0,185,0,0,0,1,0,7,2009,1,1,159000,46,46
367,367,368,80,1,101,9150,1,0,0.75,1,1,0,1,0.999999979,0,0,0.25,1,6,5,1962,1962,1,-7.64E-18,-8.17E-18,1.95E-18,-2.22E-15,305,0.5,0.5,6.84E-13,0.8,0.6,1,371,371,0.1,0,728,1099,1,0.8,1,1,1431,0,0,1431,0,1,1,0,3,1,0.6,6,1,1,0.8,0.7,57,0.6,1,296,0.6,0.6,1,64,110,0,0,0,0,0,0,1,0,12,2008,1,1,165000,46,46
368,368,369,20,1,78,7800,1,0,1,1,1,1,1,0.999999979,0,0,0.25,0.125,5,6,1954,1954,1,1,-4.08E-17,9.41E-17,-2.22E-15,200,0.5,0.5,1,0.6,0.6,0.25,108,540,0.1,0,728,1268,1,0.8,1,1,1268,0,0,1268,0,0,1,0,2,1,0.6,7,1,1,0.8,0.8,65,1,1,244,0.6,0.6,1,0,98,0,0,0,0,0,0,1,0,3,2010,1,1,132000,56,56
369,369,370,20,1,70,9830,1,0,0.75,1,1,0,1,0.999999979,0,0,0.25,0.125,5,7,1959,2006,1,1,3.47E-17,5.94E-17,1,0,0.5,0.75,6.84E-13,0.6,0.6,0.25,131.4,72,0.3,258,733,1063,1,1,1,1,1287,0,0,1287,1,0,1,0,3,1,0.8,7,1,1,0.8,0.2,22,1,2,576,0.6,0.6,1,364,17,0,0,182,0,0,0,1,0,3,2010,1,1,162000,51,4
370,370,371,60,1,70,8121,1,0,0.75,1,1,1,1,3.00E-05,0,0,0.25,0.5,6,5,2000,2000,1,1,1,1,1,0,0.5,0.5,1,0.8,0.6,0.25,0,0,0.1,0,953,953,1,1,1,1,953,711,0,1664,0,0,2,1,3,1,0.6,7,1,1,0.6,0.8,19,0.6,2,460,0.6,0.6,1,100,40,0,0,0,0,0,0,1,0,1,2006,1,1,172400,6,6
371,371,372,50,1,80,17120,1,0,1,1,1,1,1,1.03E-06,1,0,0.25,0.375,4,4,1959,1959,1,1,-9.43E-19,1.95E-18,1,0,0.5,0.5,6.84E-13,0,0,0,0,0,0,0,0,0,1,0.6,1,1,1120,468,0,1588,0,0,2,0,4,1,0.6,7,0.75,1,0.8,0.2,28,1,2,680,0.6,0.6,0,0,59,0,0,0,0,0,0,1,0,7,2008,1,1,134432,49,49
372,372,373,120,1,50,7175,1,0,1,1,1,1,1,0.00013699,0,0,1,0.125,6,5,1984,1984,1,1,-8.17E-18,1.95E-18,1,0,0.5,0.5,6.84E-13,0.8,0.6,0.25,491.45,623,0.2,121,0,744,1,0.6,1,1,752,0,0,752,1,0,1,0,2,1,0.6,4,1,0,0,0.8,35,0.3,1,264,0.6,0.6,1,353,0,0,0,90,0,0,0.75,1,0,2,2010,1,1,125000,26,26
373,373,374,20,1,79,10634,1,0,1,1,1,1,1,0.999999979,0,0,0.25,0.125,5,6,1953,1953,1,1,2.57E-16,-6.51E-19,1,0,0.5,0.5,1,0.6,0.6,0.25,250,428,0.2,180,0,608,1,0.6,1,1,1319,0,0,1319,1,0,1,0,3,1,0.6,5,0.75,0,0,0.8,66,0.3,1,270,0.6,0.6,1,66,0,0,0,0,0,0,0.5,1,0,11,2009,1,1,123000,56,56
374,374,375,60,1,65,8200,1,0,1,1,1,1,1,-5.37E-07,0,0,0.25,0.5,7,5,2003,2004,1,1,1,1,1,0,0.75,0.5,1,0.8,0.6,0.25,0,0,0.1,0,847,847,1,1,1,1,847,1081,0,1928,0,0,2,1,4,1,0.8,8,1,1,0.8,0.6,16,1,2,434,0.6,0.6,1,100,48,0,0,0,0,0,0,1,0,7,2007,1,1,219500,4,3
375,375,376,30,1,70,10020,1,0,0.75,0.25,1,1,0,-1.18E-05,0,0,0.25,0.125,1,1,1922,1950,1,1,3.47E-17,5.94E-17,1,0,0.25,0.25,0,0.4,0.2,1,175,350,0.1,0,333,683,1,0.8,0,0.75,904,0,0,904,1,0,0,1,1,1,0.4,4,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,2009,1,1,61000,87,59
376,376,377,85,1,57,8846,1,0,0.75,1,1,1.89E-18,1,-5.37E-07,0,0,0.25,0.875,5,5,1996,1996,1,1,1,1,1,0,0.75,0.5,1,0.8,0.6,0.75,298,298,0.1,0,572,870,1,1,1,1,914,0,0,914,0,0,1,0,2,1,0.6,5,1,0,0,0.2,21,0.3,2,576,0.6,0.6,1,0,0,0,0,0,0,0,0,1,0,7,2006,1,1,148000,10,10
377,377,378,60,-8.31E-19,102,11143,1,0,0.75,1,1,0,1,-1.55E-05,0,0,0.25,0.5,8,5,2004,2005,1,1,-1.65E-19,-8.62E-18,1,0,0.75,0.5,1,0.8,0.6,0.25,0,0,0.1,0,1580,1580,1,1,1,1,1580,886,0,2466,0,0,3,0,4,1,0.8,8,1,1,0.8,0.8,15,0.6,2,610,0.6,0.6,1,159,214,0,0,0,0,0,0,1,0,12,2007,1,1,340000,3,2
378,378,379,20,1,88,11394,1,0,1,1,1,0,1,-4.49E-07,0,0,0.25,0.125,9,2,2010,2010,1.39E-16,1,1,1,7.44E-19,350,0.75,0.5,1,1,0.6,0.75,1445,1445,0.1,0,411,1856,1,1,1,1,1856,0,0,1856,1,0,1,1,1,1,1,8,1,1,1,0.8,9,1,3,834,0.6,0.6,1,113,0,0,0,0,0,0,0,1,0,6,2010,-4.67E-20,0.8,394432,0,0
379,379,380,60,1,60,8123,1,0,0.75,1,1,1,1,3.00E-05,1,0,0.25,0.5,6,5,2000,2000,1,1,1,1,-2.22E-15,16,0.5,0.5,1,0.8,0.6,0.25,0,0,0.1,0,982,982,1,1,1,1,1007,793,0,1800,0,0,2,1,3,1,0.6,7,1,1,0.6,0.8,19,1,2,463,0.6,0.6,1,100,63,0,0,0,0,0,0,1,0,6,2009,1,1,179000,9,9
